customer_id,age,city,employment_type,monthly_income,credit_score,product,loan_amount,tenure_months,interest_rate,emi,disbursement_date,days_past_due,default_flag
CUST100000,42,Kolkata,Self-Employed,45746,705,Personal Loan,575583,48,16.38,16424.42,2024-03-04,0,0
CUST100001,48,Jaipur,Salaried,39575,613,Business Loan,423123,60,12.63,9547.4,2024-04-21,1,0
CUST100002,35,Jaipur,Business Owner,48294,625,Gold Loan,315842,24,9.96,14568.68,2024-06-12,0,0
CUST100003,35,Hyderabad,Salaried,25000,586,Business Loan,232445,60,15.19,5553.06,2023-09-30,179,1
CUST100004,45,Lucknow,Business Owner,37456,594,Business Loan,166122,12,11.52,14722.46,2024-05-09,314,1
CUST100005,27,Delhi,Self-Employed,54491,733,Business Loan,320297,60,17.04,7967.1,2024-03-22,0,0
CUST100006,37,Chennai,Business Owner,80964,595,Gold Loan,55875,12,10.98,4937.8,2023-08-09,265,1
CUST100007,45,Bengaluru,Business Owner,102636,633,Personal Loan,886444,48,18.57,26304.06,2023-11-16,0,0
CUST100008,33,Lucknow,Salaried,35000,656,Home Loan,1500200,240,9.78,14259.27,2023-03-25,0,0
CUST100009,42,Kolkata,Business Owner,125881,695,Personal Loan,273390,12,11.99,24289.09,2023-07-06,30,0
CUST100010,37,Ahmedabad,Salaried,58247,628,Vehicle Loan,212395,60,11.52,4673.25,2023-11-26,0,0
CUST100011,33,Pune,Self-Employed,35000,629,Home Loan,645940,120,11.08,8927.1,2023-03-09,0,0
CUST100012,36,Ahmedabad,Business Owner,66736,609,Personal Loan,127178,36,15.56,4443.62,2024-11-28,0,0
CUST100013,34,Chennai,Business Owner,26410,561,Business Loan,318183,60,16.93,7895.7,2024-04-13,0,0
CUST100014,21,Jaipur,Self-Employed,87931,695,Personal Loan,57104,24,14.86,2764.98,2024-06-04,0,0
CUST100015,25,Delhi,Self-Employed,43360,612,Business Loan,433540,36,12.75,14555.53,2024-03-27,0,0
CUST100016,46,Delhi,Self-Employed,59704,519,Gold Loan,153913,12,10.48,13565.78,2023-07-26,1,0
CUST100017,35,Chennai,Salaried,20000,655,Personal Loan,58408,24,18.52,2930.66,2023-12-29,0,0
CUST100018,41,Mumbai,Salaried,64886,517,Business Loan,434945,24,16.67,21435.76,2024-05-06,0,0
CUST100019,42,Delhi,Salaried,53237,602,Home Loan,2149071,180,9.48,22415.2,2023-08-01,0,0
CUST100020,21,Kolkata,Self-Employed,60658,614,Personal Loan,78313,12,12.96,6993.23,2023-01-29,0,0
CUST100021,40,Kolkata,Salaried,35000,829,Home Loan,789532,180,11.25,9098.13,2024-03-22,15,0
CUST100022,59,Chennai,Self-Employed,54908,614,Home Loan,972187,120,8.86,12241.71,2023-05-03,30,0
CUST100023,25,Lucknow,Self-Employed,38537,491,Gold Loan,51379,6,10.59,8829.6,2024-08-22,0,0
CUST100024,28,Kolkata,Business Owner,61762,710,Vehicle Loan,539414,60,12.09,12023.51,2024-11-03,0,0
CUST100025,47,Lucknow,Salaried,37327,565,Personal Loan,63205,12,12.21,5621.9,2023-07-17,313,1
CUST100026,41,Kolkata,Self-Employed,34667,605,Gold Loan,53459,6,11.27,9204.99,2024-01-29,1,0
CUST100027,32,Mumbai,Self-Employed,35831,559,Business Loan,111427,12,14.54,10033.04,2024-09-25,0,0
CUST100028,35,Bengaluru,Self-Employed,36078,518,Business Loan,174606,12,14.88,15749.76,2024-11-12,346,1
CUST100029,33,Lucknow,Salaried,32443,651,Gold Loan,249486,24,11.75,11715.07,2024-09-16,0,0
CUST100030,38,Hyderabad,Business Owner,35000,783,Home Loan,961076,240,11.22,10064.41,2024-05-08,0,0
CUST100031,33,Lucknow,Business Owner,42143,679,Personal Loan,490057,48,15.79,13835.7,2023-10-08,0,0
CUST100032,29,Mumbai,Salaried,47924,700,Vehicle Loan,162607,24,10.64,7551.61,2024-05-02,30,0
CUST100033,38,Delhi,Business Owner,46375,767,Personal Loan,268838,48,14.02,7349.09,2023-07-01,0,0
CUST100034,33,Jaipur,Salaried,47822,599,Gold Loan,117451,12,9.3,10287.61,2024-01-22,331,1
CUST100035,42,Chennai,Salaried,56825,581,Home Loan,1535599,240,9.68,14494.78,2023-02-22,0,0
CUST100036,41,Chennai,Business Owner,127486,639,Business Loan,387966,24,12.44,18342.73,2023-07-08,0,0
CUST100037,44,Ahmedabad,Self-Employed,51918,819,Home Loan,1180859,300,10.95,11531.09,2023-10-22,0,0
CUST100038,43,Delhi,Business Owner,89895,684,Business Loan,474003,24,13.75,22702.31,2024-03-11,0,0
CUST100039,40,Delhi,Self-Employed,89866,667,Gold Loan,140188,6,10.03,24052.92,2023-02-23,0,0
CUST100040,26,Kolkata,Salaried,62557,722,Gold Loan,60693,6,9.77,10405.7,2023-11-19,0,0
CUST100041,38,Lucknow,Business Owner,26655,575,Personal Loan,109636,24,17.5,5447.03,2024-07-18,166,1
CUST100042,30,Kolkata,Salaried,65496,623,Business Loan,172472,12,11.44,15278.78,2023-01-22,0,0
CUST100043,21,Pune,Salaried,35000,598,Home Loan,1130886,120,9.05,14356.21,2023-08-29,0,0
CUST100044,21,Jaipur,Salaried,40315,893,Personal Loan,174845,48,15.9,4946.21,2023-12-15,0,0
CUST100045,48,Hyderabad,Self-Employed,35407,636,Personal Loan,199520,36,12.16,6642.18,2024-11-29,281,1
CUST100046,39,Bengaluru,Salaried,77183,841,Vehicle Loan,325801,36,13.68,11084.54,2023-10-25,0,0
CUST100047,37,Mumbai,Self-Employed,80317,748,Home Loan,1958810,180,10.24,21338.01,2023-02-14,0,0
CUST100048,31,Chennai,Salaried,71691,895,Personal Loan,825534,36,14.12,28262.93,2023-05-07,15,0
CUST100049,31,Delhi,Business Owner,63956,742,Business Loan,869800,60,12.15,19414.22,2023-10-02,1,0
CUST100050,35,Delhi,Self-Employed,93950,859,Home Loan,2199935,120,11.2,30553.7,2024-03-15,15,0
CUST100051,22,Kolkata,Self-Employed,48709,774,Personal Loan,106633,24,18.2,5333.87,2024-02-03,0,0
CUST100052,42,Mumbai,Salaried,57920,609,Home Loan,1511649,300,9.69,13407.42,2024-04-30,0,0
CUST100053,21,Bengaluru,Self-Employed,27203,618,Business Loan,189081,36,14.23,6483.48,2023-01-13,0,0
CUST100054,55,Kolkata,Salaried,65850,625,Business Loan,316703,12,13.97,28431.38,2024-08-10,360,1
CUST100055,51,Hyderabad,Self-Employed,28931,614,Personal Loan,201392,36,14.49,6931.13,2024-01-12,0,0
CUST100056,35,Pune,Salaried,67108,640,Vehicle Loan,446072,48,10.13,11341.41,2024-03-18,0,0
CUST100057,38,Pune,Self-Employed,32874,665,Personal Loan,70737,12,12.88,6314.05,2023-11-24,0,0
CUST100058,23,Kolkata,Self-Employed,101996,701,Personal Loan,153446,24,14.81,7426.24,2023-09-19,15,0
CUST100059,56,Lucknow,Business Owner,90318,484,Home Loan,1555125,240,9.19,14182.46,2023-06-16,269,1
CUST100060,35,Kolkata,Self-Employed,40643,527,Vehicle Loan,154495,36,9.56,4953.26,2024-09-16,0,0
CUST100061,28,Chennai,Salaried,94644,522,Personal Loan,394619,48,17.73,11536.33,2024-06-29,30,0
CUST100062,39,Ahmedabad,Self-Employed,35000,873,Home Loan,1175496,240,9.15,10689.91,2024-04-23,0,0
CUST100063,44,Hyderabad,Business Owner,21702,729,Personal Loan,54433,12,14.54,4901.22,2024-05-27,0,0
CUST100064,45,Chennai,Salaried,25175,514,Vehicle Loan,184317,36,11.4,6069.28,2024-08-08,0,0
CUST100065,25,Bengaluru,Self-Employed,30494,900,Personal Loan,108906,36,18.66,3973.36,2024-08-15,0,0
CUST100066,33,Jaipur,Salaried,154698,857,Business Loan,300948,24,14.22,14480.68,2023-08-09,118,1
CUST100067,37,Mumbai,Salaried,25344,659,Vehicle Loan,239171,36,13.81,8152.24,2024-09-24,30,0
CUST100068,51,Jaipur,Business Owner,81987,718,Personal Loan,122532,36,15.67,4287.93,2023-10-23,0,0
CUST100069,40,Pune,Self-Employed,96598,435,Personal Loan,134550,36,11.78,4454.86,2024-05-22,0,0
CUST100070,36,Mumbai,Salaried,39345,693,Business Loan,89696,12,15.31,8108.94,2024-01-06,330,1
CUST100071,55,Delhi,Salaried,48429,630,Personal Loan,298908,48,18.05,8788.23,2023-03-19,0,0
CUST100072,24,Bengaluru,Self-Employed,30966,721,Business Loan,307682,36,13.99,10514.35,2023-10-20,0,0
CUST100073,35,Kolkata,Business Owner,46697,684,Business Loan,480859,60,17.6,12106.27,2023-05-11,0,0
CUST100074,31,Chennai,Self-Employed,88832,900,Personal Loan,285150,12,12.8,25442.07,2023-06-06,0,0
CUST100075,42,Jaipur,Self-Employed,36084,645,Business Loan,85131,12,11.31,7536.33,2023-07-16,0,0
CUST100076,35,Pune,Salaried,51589,633,Personal Loan,177892,12,11.96,15802.16,2024-08-28,0,0
CUST100077,40,Mumbai,Business Owner,78158,717,Gold Loan,318676,18,9.64,19085.97,2024-09-09,0,0
CUST100078,37,Ahmedabad,Salaried,64733,700,Gold Loan,51199,12,12.27,4555.44,2024-03-18,30,0
CUST100079,36,Pune,Self-Employed,42028,699,Home Loan,1595585,180,8.56,15768.52,2023-05-02,0,0
CUST100080,42,Mumbai,Self-Employed,36246,636,Personal Loan,162759,24,18.93,8198.92,2024-07-29,0,0
CUST100081,39,Delhi,Salaried,46328,569,Personal Loan,330742,48,14.7,9154.58,2024-04-21,0,0
CUST100082,25,Mumbai,Business Owner,75828,718,Personal Loan,221314,12,16.29,20110.39,2023-05-30,0,0
CUST100083,40,Mumbai,Self-Employed,47048,780,Home Loan,1251078,300,8.98,10481.87,2023-01-13,0,0
CUST100084,31,Kolkata,Business Owner,78324,671,Business Loan,368268,24,15.19,17889.34,2023-08-17,0,0
CUST100085,52,Pune,Self-Employed,42682,677,Personal Loan,291474,24,16.6,14355.18,2024-09-27,15,0
CUST100086,47,Jaipur,Salaried,74832,679,Vehicle Loan,863149,36,10.45,28034.11,2023-02-27,1,0
CUST100087,26,Bengaluru,Salaried,77625,729,Personal Loan,429895,24,12.76,20389.56,2024-01-14,0,0
CUST100088,44,Pune,Self-Employed,59679,649,Gold Loan,205571,18,12.58,12591.6,2023-02-27,0,0
CUST100089,62,Hyderabad,Self-Employed,160216,641,Business Loan,924398,36,17.83,33340.42,2024-05-18,0,0
CUST100090,38,Lucknow,Salaried,52052,558,Personal Loan,438826,36,14.97,15205.6,2024-11-22,0,0
CUST100091,34,Kolkata,Salaried,39945,686,Home Loan,1535449,180,9.96,16462.46,2023-05-28,7,0
CUST100092,52,Mumbai,Salaried,97737,709,Business Loan,316498,12,14.06,28426.38,2024-04-01,0,0
CUST100093,35,Jaipur,Business Owner,25659,784,Personal Loan,93360,48,15.99,2645.37,2023-11-11,0,0
CUST100094,29,Chennai,Salaried,60601,604,Business Loan,544828,60,13.66,12581.36,2024-08-27,0,0
CUST100095,43,Hyderabad,Salaried,47296,676,Personal Loan,151940,36,13.23,5136.31,2024-02-14,118,1
CUST100096,29,Pune,Business Owner,109971,692,Personal Loan,170208,12,15.85,15431.04,2023-04-11,126,1
CUST100097,42,Pune,Salaried,35886,852,Business Loan,143223,12,17.74,13112.97,2023-06-20,0,0
CUST100098,39,Mumbai,Salaried,53283,779,Vehicle Loan,478220,48,13.73,13003.39,2023-08-11,0,0
CUST100099,49,Mumbai,Salaried,58122,809,Gold Loan,126625,6,9.44,21689.03,2023-08-11,1,0
CUST100100,34,Hyderabad,Self-Employed,78754,800,Personal Loan,202567,36,16.72,7193.87,2024-02-27,0,0
CUST100101,53,Lucknow,Self-Employed,66916,685,Home Loan,1607493,180,9.94,17215.24,2024-03-01,0,0
CUST100102,44,Pune,Self-Employed,65364,655,Home Loan,1791262,300,10.44,16836.07,2023-03-12,0,0
CUST100103,50,Bengaluru,Salaried,79654,624,Personal Loan,374445,36,15.86,13138.51,2023-03-28,0,0
CUST100104,41,Ahmedabad,Salaried,59719,605,Gold Loan,232515,12,11.2,20571.76,2023-06-09,1,0
CUST100105,36,Jaipur,Self-Employed,70960,657,Personal Loan,311065,48,14.15,8523.73,2023-03-08,0,0
CUST100106,29,Pune,Salaried,143282,672,Personal Loan,372170,12,12.22,33105.17,2024-02-21,0,0
CUST100107,48,Jaipur,Business Owner,32799,827,Personal Loan,80078,24,14.84,3876.63,2024-09-25,0,0
CUST100108,30,Chennai,Business Owner,75663,580,Personal Loan,244173,12,16.13,22169.05,2024-02-19,0,0
CUST100109,30,Delhi,Salaried,90566,571,Personal Loan,474034,36,14.34,16279.75,2024-11-04,0,0
CUST100110,51,Ahmedabad,Salaried,69369,822,Personal Loan,125186,12,13.76,11225.96,2024-05-31,0,0
CUST100111,34,Kolkata,Salaried,156320,715,Gold Loan,338407,12,12.15,30090.8,2023-06-09,0,0
CUST100112,26,Pune,Business Owner,25000,603,Business Loan,167195,36,17.6,6011.0,2023-10-01,0,0
CUST100113,21,Mumbai,Salaried,77616,653,Gold Loan,190117,12,11.89,16881.88,2023-06-06,132,1
CUST100114,38,Lucknow,Self-Employed,64430,900,Personal Loan,476676,24,17.72,23733.18,2023-12-21,221,1
CUST100115,34,Bengaluru,Salaried,55322,592,Gold Loan,150573,18,11.02,9113.85,2023-04-17,0,0
CUST100116,31,Pune,Salaried,47508,624,Business Loan,392113,60,15.84,9502.12,2024-04-04,0,0
CUST100117,34,Hyderabad,Salaried,45970,769,Personal Loan,70148,12,14.16,6303.67,2023-04-04,0,0
CUST100118,51,Chennai,Self-Employed,40456,546,Personal Loan,53898,12,17.76,4935.21,2024-03-28,0,0
CUST100119,39,Chennai,Self-Employed,26996,676,Personal Loan,266609,48,13.33,7196.2,2023-04-04,15,0
CUST100120,40,Jaipur,Self-Employed,35000,741,Home Loan,1380852,180,9.26,14219.9,2023-06-08,0,0
CUST100121,33,Mumbai,Salaried,61696,619,Home Loan,985102,120,9.83,12925.64,2023-03-15,0,0
CUST100122,38,Kolkata,Salaried,37372,788,Personal Loan,196179,36,17.38,7031.47,2023-02-27,206,1
CUST100123,31,Mumbai,Salaried,24078,815,Gold Loan,51592,12,9.04,4512.75,2023-08-14,1,0
CUST100124,37,Pune,Self-Employed,28752,747,Business Loan,293648,60,12.1,6546.89,2024-01-21,193,1
CUST100125,43,Lucknow,Self-Employed,38487,650,Vehicle Loan,573069,60,11.73,12669.55,2024-01-16,0,0
CUST100126,25,Kolkata,Self-Employed,66354,781,Business Loan,174972,12,17.56,16004.82,2023-05-30,0,0
CUST100127,30,Delhi,Salaried,102648,635,Personal Loan,282478,12,15.31,25537.33,2023-04-23,0,0
CUST100128,35,Mumbai,Self-Employed,48542,603,Gold Loan,268929,24,12.2,12684.55,2024-07-02,0,0
CUST100129,31,Bengaluru,Salaried,57310,708,Gold Loan,95943,12,9.81,8426.44,2024-11-28,1,0
CUST100130,29,Bengaluru,Self-Employed,20000,715,Personal Loan,83399,24,16.72,4112.22,2023-12-03,251,1
CUST100131,29,Delhi,Salaried,124325,849,Business Loan,313852,24,14.41,15129.8,2024-05-01,0,0
CUST100132,43,Delhi,Salaried,38296,615,Personal Loan,255760,24,14.29,12314.84,2024-03-22,0,0
CUST100133,21,Bengaluru,Self-Employed,87003,652,Personal Loan,367520,36,17.05,13112.24,2024-02-15,0,0
CUST100134,54,Delhi,Business Owner,70788,772,Personal Loan,230190,12,14.96,20772.22,2024-09-24,0,0
CUST100135,36,Delhi,Salaried,36275,722,Business Loan,490508,60,11.92,10891.26,2023-01-26,0,0
CUST100136,28,Kolkata,Business Owner,35000,784,Home Loan,731975,180,8.7,7294.12,2024-01-08,0,0
CUST100137,35,Mumbai,Self-Employed,72655,599,Personal Loan,92529,36,18.73,3379.13,2024-11-17,0,0
CUST100138,45,Lucknow,Salaried,26182,707,Personal Loan,89960,48,14.12,2463.71,2024-01-02,0,0
CUST100139,36,Pune,Salaried,55251,808,Home Loan,1545670,180,8.75,15448.18,2023-11-20,0,0
CUST100140,55,Hyderabad,Salaried,29225,652,Gold Loan,68766,18,9.21,4104.92,2023-12-30,0,0
CUST100141,29,Kolkata,Salaried,38225,618,Business Loan,167172,12,14.16,15022.48,2024-09-28,217,1
CUST100142,36,Hyderabad,Salaried,241966,606,Home Loan,2711499,120,11.39,37952.0,2024-07-12,0,0
CUST100143,35,Kolkata,Salaried,35000,699,Home Loan,956468,300,11.07,9422.91,2023-05-09,0,0
CUST100144,40,Chennai,Salaried,71714,682,Business Loan,555542,60,17.92,14082.95,2024-04-04,30,0
CUST100145,52,Chennai,Self-Employed,65500,709,Home Loan,1579578,180,9.64,16628.04,2024-11-22,0,0
CUST100146,40,Jaipur,Salaried,70690,635,Home Loan,1518100,180,9.23,15605.98,2023-05-14,0,0
CUST100147,47,Jaipur,Salaried,72973,735,Business Loan,326348,24,17.85,16268.99,2023-05-03,0,0
CUST100148,33,Kolkata,Salaried,63712,758,Personal Loan,153176,36,13.79,5219.58,2024-06-20,1,0
CUST100149,34,Delhi,Salaried,75329,711,Gold Loan,205301,18,11.24,12447.32,2024-11-14,0,0
CUST100150,36,Jaipur,Salaried,30598,728,Personal Loan,170821,48,11.64,4468.24,2023-03-20,1,0
CUST100151,46,Hyderabad,Salaried,20950,727,Personal Loan,100290,24,15.99,4910.03,2024-04-12,1,0
CUST100152,47,Ahmedabad,Salaried,54569,629,Gold Loan,65491,18,12.98,4023.65,2023-03-07,0,0
CUST100153,21,Jaipur,Self-Employed,53894,770,Gold Loan,88855,6,11.78,15322.13,2023-04-30,0,0
CUST100154,37,Jaipur,Self-Employed,67323,593,Personal Loan,134280,24,17.4,6664.94,2023-10-12,0,0
CUST100155,38,Hyderabad,Salaried,36102,676,Home Loan,1321070,300,9.22,11286.07,2023-11-10,0,0
CUST100156,62,Hyderabad,Business Owner,34492,706,Personal Loan,91906,12,14.04,8253.7,2023-03-02,0,0
CUST100157,40,Jaipur,Self-Employed,54051,769,Home Loan,1633310,240,9.98,15740.16,2023-10-15,0,0
CUST100158,40,Mumbai,Self-Employed,63219,636,Vehicle Loan,253818,24,13.23,12094.41,2023-03-06,0,0
CUST100159,39,Kolkata,Self-Employed,43808,621,Personal Loan,413720,36,14.6,14260.83,2023-03-23,0,0
CUST100160,34,Hyderabad,Salaried,41828,685,Vehicle Loan,356376,60,13.19,8143.35,2024-07-19,7,0
CUST100161,30,Jaipur,Self-Employed,62037,756,Business Loan,415814,24,13.83,19931.05,2023-11-12,0,0
CUST100162,52,Ahmedabad,Salaried,61612,797,Business Loan,394930,60,13.75,9138.22,2024-10-24,299,1
CUST100163,21,Delhi,Salaried,25000,789,Business Loan,159011,36,16.54,5632.84,2024-02-11,0,0
CUST100164,28,Mumbai,Salaried,52624,680,Home Loan,1484722,240,8.91,13272.61,2023-08-08,0,0
CUST100165,33,Chennai,Salaried,69457,649,Vehicle Loan,461405,60,13.98,10731.3,2024-06-25,356,1
CUST100166,37,Pune,Salaried,59791,641,Personal Loan,124811,24,13.45,5960.16,2023-09-01,0,0
CUST100167,48,Kolkata,Business Owner,37761,730,Personal Loan,104573,12,18.95,9634.59,2023-01-28,0,0
CUST100168,64,Delhi,Salaried,25000,528,Business Loan,278469,36,17.09,9940.66,2024-09-05,0,0
CUST100169,49,Hyderabad,Salaried,48691,715,Home Loan,1621542,300,9.98,14712.11,2024-10-05,0,0
CUST100170,51,Chennai,Business Owner,35000,726,Home Loan,1506720,300,10.92,14680.5,2023-06-18,0,0
CUST100171,44,Hyderabad,Salaried,76322,751,Personal Loan,120968,24,16.66,5961.19,2023-07-15,0,0
CUST100172,47,Ahmedabad,Salaried,63357,788,Personal Loan,505770,36,12.57,16936.83,2023-03-04,0,0
CUST100173,23,Jaipur,Self-Employed,62016,512,Personal Loan,262089,24,17.56,13028.91,2023-12-17,0,0
CUST100174,44,Pune,Salaried,78337,590,Home Loan,1625933,240,9.7,15368.81,2024-01-20,0,0
CUST100175,30,Chennai,Salaried,102808,636,Personal Loan,539922,36,18.16,19562.84,2023-06-19,277,1
CUST100176,46,Kolkata,Salaried,64843,617,Business Loan,321074,36,12.99,10816.71,2023-12-24,0,0
CUST100177,53,Lucknow,Self-Employed,53898,761,Business Loan,506933,60,11.03,11029.54,2024-08-12,0,0
CUST100178,48,Delhi,Salaried,35176,715,Vehicle Loan,252328,24,10.02,11645.99,2023-06-27,0,0
CUST100179,36,Chennai,Business Owner,51242,697,Gold Loan,208828,12,10.08,18367.07,2024-08-29,0,0
CUST100180,28,Delhi,Salaried,47535,639,Personal Loan,140895,12,14.62,12691.69,2024-06-11,0,0
CUST100181,52,Pune,Salaried,59046,627,Vehicle Loan,253325,36,12.4,8462.49,2023-02-10,0,0
CUST100182,38,Chennai,Self-Employed,29700,695,Personal Loan,189422,36,15.2,6584.94,2023-12-30,30,0
CUST100183,38,Hyderabad,Self-Employed,35000,615,Home Loan,706803,300,11.43,7148.28,2023-07-05,0,0
CUST100184,39,Bengaluru,Self-Employed,106352,849,Business Loan,239073,12,17.82,21897.74,2023-11-17,0,0
CUST100185,45,Hyderabad,Salaried,57298,693,Gold Loan,59053,12,10.94,5217.55,2024-11-24,0,0
CUST100186,43,Hyderabad,Salaried,50302,646,Personal Loan,267426,24,17.85,13331.63,2024-03-25,0,0
CUST100187,34,Mumbai,Salaried,42980,514,Vehicle Loan,600456,48,9.77,15162.88,2023-10-18,0,0
CUST100188,48,Lucknow,Self-Employed,33095,755,Personal Loan,141708,24,15.6,6911.41,2024-04-17,1,0
CUST100189,31,Mumbai,Business Owner,39552,732,Gold Loan,89222,12,9.44,7820.81,2023-11-18,0,0
CUST100190,29,Mumbai,Business Owner,94700,672,Home Loan,3006891,300,9.43,26124.94,2024-02-27,1,0
CUST100191,25,Chennai,Salaried,35000,734,Home Loan,1543858,300,9.03,12987.73,2023-01-01,1,0
CUST100192,65,Ahmedabad,Salaried,35000,702,Home Loan,948307,120,9.83,12442.85,2023-10-18,0,0
CUST100193,39,Mumbai,Salaried,22853,682,Personal Loan,57190,12,13.22,5113.96,2024-01-30,0,0
CUST100194,21,Delhi,Salaried,35000,662,Home Loan,1202974,300,10.97,11764.42,2024-02-20,0,0
CUST100195,47,Jaipur,Salaried,46421,773,Personal Loan,268885,36,17.58,9664.28,2024-09-05,0,0
CUST100196,21,Ahmedabad,Business Owner,57516,830,Home Loan,939723,120,9.75,12288.78,2023-08-01,0,0
CUST100197,62,Delhi,Business Owner,36428,593,Personal Loan,208147,36,16.47,7366.22,2024-07-25,0,0
CUST100198,33,Hyderabad,Salaried,27785,702,Personal Loan,246350,48,16.46,7039.8,2024-10-28,0,0
CUST100199,53,Lucknow,Salaried,52696,724,Home Loan,1602544,240,10.78,16302.01,2024-05-03,0,0
CUST100200,34,Mumbai,Salaried,120283,642,Personal Loan,265759,24,17.55,13210.07,2024-05-23,0,0
CUST100201,47,Ahmedabad,Salaried,93498,375,Personal Loan,568786,48,17.01,16415.29,2023-11-03,30,0
CUST100202,45,Delhi,Self-Employed,35000,470,Home Loan,630812,120,10.66,8568.48,2023-04-03,0,0
CUST100203,51,Lucknow,Self-Employed,25000,771,Business Loan,134469,24,15.71,6565.4,2024-09-26,0,0
CUST100204,38,Chennai,Salaried,35600,542,Home Loan,672949,120,11.13,9319.46,2024-04-19,181,1
CUST100205,49,Pune,Salaried,37067,710,Home Loan,880006,240,9.76,8352.79,2024-11-17,0,0
CUST100206,38,Mumbai,Salaried,35000,683,Home Loan,901981,180,10.61,10032.09,2023-12-05,0,0
CUST100207,41,Pune,Salaried,51215,715,Business Loan,314534,36,12.2,10477.1,2024-01-23,0,0
CUST100208,51,Hyderabad,Salaried,79034,753,Business Loan,175864,12,14.68,15846.64,2024-03-04,0,0
CUST100209,53,Hyderabad,Business Owner,66096,796,Personal Loan,180326,24,16.6,8881.11,2023-10-07,15,0
CUST100210,34,Hyderabad,Business Owner,60489,677,Personal Loan,584533,36,18.18,21185.09,2024-11-28,0,0
CUST100211,36,Mumbai,Salaried,30368,738,Business Loan,300683,36,12.39,10043.08,2023-06-23,0,0
CUST100212,37,Delhi,Salaried,34273,525,Business Loan,384645,36,16.87,13688.77,2024-06-04,259,1
CUST100213,50,Kolkata,Business Owner,40263,812,Personal Loan,75295,12,15.88,6827.3,2023-11-15,0,0
CUST100214,24,Hyderabad,Salaried,69317,728,Home Loan,2446172,300,9.76,21815.88,2023-11-25,0,0
CUST100215,39,Kolkata,Business Owner,38308,809,Personal Loan,117586,24,14.57,5677.36,2024-05-19,0,0
CUST100216,35,Bengaluru,Salaried,92407,688,Personal Loan,527806,36,13.41,17888.28,2024-07-04,0,0
CUST100217,21,Lucknow,Salaried,33885,581,Personal Loan,64085,12,14.45,5767.59,2024-08-24,0,0
CUST100218,34,Hyderabad,Salaried,108602,823,Home Loan,1503137,300,9.19,12810.42,2023-04-23,0,0
CUST100219,31,Mumbai,Salaried,65271,711,Home Loan,1547812,180,9.56,16218.72,2023-10-01,0,0
CUST100220,30,Kolkata,Self-Employed,34570,537,Business Loan,316956,36,15.75,11104.15,2023-01-16,0,0
CUST100221,21,Mumbai,Salaried,58530,675,Vehicle Loan,228741,24,10.43,10600.69,2024-07-08,0,0
CUST100222,37,Chennai,Salaried,33439,711,Business Loan,150369,12,14.75,13554.32,2024-07-08,0,0
CUST100223,43,Delhi,Self-Employed,41649,679,Home Loan,1536890,180,9.66,16197.3,2024-01-15,0,0
CUST100224,31,Pune,Salaried,54482,673,Vehicle Loan,263504,48,11.08,6820.64,2024-05-11,0,0
CUST100225,32,Pune,Self-Employed,56064,816,Home Loan,1415459,120,10.24,18894.02,2024-06-14,0,0
CUST100226,29,Jaipur,Salaried,104110,636,Home Loan,3216995,240,10.29,31665.32,2024-05-16,0,0
CUST100227,31,Hyderabad,Salaried,59563,569,Business Loan,319824,24,13.97,15351.14,2024-07-29,0,0
