feature,importance
num__credit_score,0.19549197765442045
num__emi_to_income,0.1577210237083746
num__interest_rate,0.1067704317848603
num__loan_to_annual_income,0.10055585075503926
num__loan_amount,0.09533000975177681
num__monthly_income,0.09204717069629681
num__age,0.05676427718392322
cat__employment_type_Salaried,0.04709911686026976
num__tenure_months,0.03552163452848892
cat__employment_type_Business Owner,0.02312181578748304
cat__product_Business Loan,0.01604483563976054
cat__employment_type_Self-Employed,0.0102385928449703
cat__product_Personal Loan,0.007321753495670126
cat__city_Ahmedabad,0.006608222989110733
cat__city_Delhi,0.005727874448330066
cat__city_Hyderabad,0.005250916860819571
cat__product_Home Loan,0.00495832393355062
cat__city_Lucknow,0.004343018375559229
cat__city_Jaipur,0.00424688878460732
cat__city_Bengaluru,0.004026018163345627
cat__city_Mumbai,0.004016878599404684
cat__product_Vehicle Loan,0.003969061769586867
cat__city_Kolkata,0.003498029572091516
cat__city_Pune,0.003286915547013074
cat__city_Chennai,0.003161702563860773
cat__product_Gold Loan,0.002877657701385799
